Name,Rating,Votes,Duration,Genre,Duration_Minutes
Hunt the Wicked,5.3,112,1h 42m,Action,102
Martin,2.2,36000,2h 27m,Action,147
American Underdog,8.7,24,1h 29m,Action,89
Customs Frontline,5.5,488,1h 55m,Action,115
Rajakili,6.8,584,2h 2m,Action,122
Tales Beyond the Galaxy,4.7,178,1h 16m,Action,76
School of Magical Animals 3,5.8,311,1h 45m,Action,105
Exorcism Chronicles: The Beginning,7.2,97,1h 25m,Action,85
UI,6.8,5700,2h 15m,Action,135
Six jours,6.4,102,1h 35m,Action,95
Kahar: Kapla High Council,6.9,458,1h 42m,Action,102
I Heart Robots,4.6,2400,1h 16m,Action,76
Art of Eight Limbs,3.9,314,1h 41m,Action,101
Je Jatt Vigarh Gya,5.8,824,2h 12m,Action,132
Bachhala Malli,8.3,3900,2h 20m,Action,140
Taken from Rio Bravo,3.0,315,1h 20m,Action,80
Bloody Escape: Bats out of Hell,5.8,42,1h 40m,Action,100
Escape from the 21st Century,6.5,874,1h 38m,Action,98
Citizen of a Kind,6.7,817,1h 54m,Action,114
Sheriff,6.9,1100,2h 13m,Action,133
Lady Scorpions,3.6,367,1h 41m,Action,101
Non Negotiable,5.4,1200,1h 27m,Action,87
The Unbreakable Bunch,7.2,26,R,Action,0
No Time to Spy: A Loud House Movie,6.4,449,1h 21m,Action,81
Sasan,8.6,67,2h 35m,Action,155
The Moon Thieves,6.1,250,1h 48m,Action,108
Deaner '89,5.9,416,1h 30m,Action,90
Bonus Trip,4.6,226,1h 53m,Action,113
Yudhra,5.0,13000,2h 22m,Action,142
Drive,5.7,329,1h 30m,Action,90
Bureau 749,4.1,523,2h 3m,Action,123
Baby Assassins: Nice Days,7.3,303,1h 43m,Action,103
Mongol,8.6,94,2h 35m,Action,155
Ape X Mecha Ape: New World Order,2.8,135,1h 27m,Action,87
Fighting the Fire,8.5,1700,1h 55m,Action,115
Midas,4.7,339,1h 25m,Action,85
Go for Broke,5.7,272,1h 55m,Action,115
Anunnakiler,2.5,449,1h 16m,Action,76
Paradise,6.9,78,1h 23m,Action,83
Baki Hanma VS Kengan Ashura,5.7,1900,1h 2m,Action,62
Love You to Debt,6.2,759,2h 15m,Action,135
Mission: Chapter 1,5.9,1700,2h 24m,Action,144
Formed Police Unit,4.6,476,2h,Action,120
6 Hours Away,3.9,244,1h 33m,Action,93
Bonnie,7.4,36,2h,Action,120
Garudan,7.1,3300,2h 13m,Action,133
Ghost Killer,7.1,73,1h 45m,Action,105
Game On,5.3,2300,2h 20m,Action,140
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,2h 34m,Action,154
Warrior Awang and Master Tok Gajah,4.6,476,1h 58m,Action,118
Kill Craft,2.4,365,1h 39m,Action,99
S.T.A.L.K.E.R.: Shadow of the Zone,5.1,466,1h 12m,Action,72
Jathara,7.8,1100,2h 9m,Action,129
Lal Salaam,4.5,1300,2h 30m,Action,150
Shark Island,3.2,115,1h 21m,Action,81
Ameena,6.4,19,1h 47m,Action,107
Malayalee from India,5.6,5000,2h 40m,Action,160
Barroz: Guardian of Treasures,3.5,1000,2h 35m,Action,155
Alangu,8.2,1200,2h 11m,Action,131
Mummy Shark,2.0,178,1h 6m,Action,66
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,660,2h 54m,Action,174
Jithender Reddy,7.5,2400,2h 16m,Action,136
Buying Time,6.1,397,1h 24m,Action,84
Sons of Rizk 3,6.7,1700,2h 5m,Action,125
Red vs. Blue: Restoration,5.6,136,1h 25m,Action,85
Appudo Ippudo Eppudo,4.7,231,2h,Action,120
The Traveller,5.2,208,2h 14m,Action,134
Hitler,5.2,305,2h 8m,Action,128
Premalo,7.3,1100,2h 8m,Action,128
Hakkenden,5.8,75,2h 29m,Action,149
The Bouncer,4.2,90,1h 18m,Action,78
Sabari,6.5,5400,2h 9m,Action,129
Nothing Even Matters,5.5,77,1h 30m,Action,90
(Pri)sons,5.1,271,1h 40m,Action,100
Naam,6.3,277,2h 16m,Action,136
Siren,6.4,2900,2h 34m,Action,154
Lisabi: The Uprising,6.1,125,1h 47m,Action,107
Mazhai Pidikatha Manithan,4.5,424,2h 13m,Action,133
Holy Punch,5.2,48,1h 38m,Action,98
5 Pounds of Pressure,6.7,15,1h 51m,Action,111
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.4,20,1h 56m,Action,116
Prepare to Die,4.6,233,1h 33m,Action,93
Gandhi 3,5.5,239,2h 23m,Action,143
Sucha Soorma,6.4,917,2h 16m,Action,136
Correr para Vivir,7.0,197,1h 37m,Action,97
Rob N Roll,6.1,1500,1h 38m,Action,98
Next to Us,4.9,222,2h 5m,Action,125
Aserb: The Squadron,5.2,306,2h,Action,120
The Day Everything Changed,7.9,79,1h 37m,Action,97
The Epidemic,5.7,72,1h 35m,Action,95
Orang Ikan,6.7,34,1h 23m,Action,83
Bond of Justice: Kizuna Part I - Encounter,6.2,18,1h 32m,Action,92
Bhairadevi,8.7,49,2h 14m,Action,134
12 Gaun,6.4,884,2h 27m,Action,147
Devaki Nandana Vasudeva,6.5,2700,2h 8m,Action,128
Turbo,5.9,3600,2h 35m,Action,155
Matka,4.7,586,2h 36m,Action,156
Sentimentaaal,5.6,976,2h 15m,Action,135
Mobile Suit Gundam SEED Freedom,6.6,948,2h 4m,Action,124
The Firefighters,5.7,190,1h 46m,Action,106
Diabel,5.1,247,1h 48m,Action,108
Road Wars: Max Fury,2.0,350,1h 23m,Action,83
Captain Miller,6.5,8600,2h 37m,Action,157
Zebra,7.2,3200,2h 44m,Action,164
Echo 8,3.9,199,1h 36m,Action,96
Kondal,5.4,769,2h 27m,Action,147
They Call Her Death,6.7,27,1h 32m,Action,92
The Plot,4.8,380,1h 40m,Action,100
Samandar,7.7,140,2h 52m,Action,172
The Evil Three,6.7,986,30m,Action,30
The Wild Blade of Strangers,6.2,113,1h 42m,Action,102
Checkmate,4.3,390,1h 44m,Action,104
The Mick and the Trick,4.9,76,1h 36m,Action,96
Tòkunbò,3.9,296,1h 53m,Action,113
Texas Twister,2.5,157,1h 28m,Action,88
Rang De Basanti,8.8,144,2h 54m,Action,174
The Circuit 4: Faith Fighter,4.3,88,1h 30m,Action,90
The Miranda Brothers,4.4,190,1h 39m,Action,99
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0,32,50m,Action,50
Camp Blood: Clown Shark,3.3,87,1h 10m,Action,70
Panjab Files,8.2,20,1h 57m,Action,117
Stuntman,6.9,167,1h 54m,Action,114
Fuuto PI: Portrait of Kamen Rider Skull,7.5,41,1h 22m,Action,82
Ship of the Damned,2.8,298,1h 28m,Action,88
SCP: The Infinite Mission,6.0,32,16+,Action,0
Sector 17,5.5,1300,2h 26m,Action,146
Dr. Jason II - Lights & Shadows,4.9,328,1h 2m,Action,62
Bandaa Singh Chaudhary,6.3,5200,1h 53m,Action,113
Bhaiyya Ji,4.8,7400,2h 30m,Action,150
The Infallibles,4.8,751,1h 39m,Action,99
The Slave and the Sorcerer,6.7,40,1h 26m,Action,86
Agastya - Chapter 1,6.9,597,2h 48m,Action,168
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,18,1h 30m,Action,90
Neon Fear,5.9,537,40m,Action,40
Blocking the Horse,6.0,13,1h 34m,Action,94
Mechanic Rocky,6.4,3500,2h 36m,Action,156
Pottel,8.2,2700,2h 28m,Action,148
Major Grom: The Game,6.1,1800,2h 48m,Action,168
First Nights at Freddy's,9.3,16,1h 38m,Action,98
